Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,c,a,1270,9,2008,0,,,
2,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
3,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
4,c,c,620,9,2009,0,,,
5,a,a,29910,4,2015,0,,,
6,a,a,310,12,2013,0,,,
7,a,c,24000,4,2013,0,,,
8,a,a,7520,10,2014,0,,,
9,a,c,2030,8,2000,0,,,
10,a,a,3160,9,2009,0,,,
11,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct"
12,a,c,1070,,,1,13,2010,"Jan,Apr,Jul,Oct"
13,d,a,310,,,1,45,2009,"Feb,May,Aug,Nov"
14,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
15,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
16,a,c,3270,,,0,,,
17,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
18,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct"
19,a,c,3240,,,1,22,2011,"Mar,Jun,Sept,Dec"
20,d,a,2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
21,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct"
22,a,a,1040,,,1,22,2012,"Jan,Apr,Jul,Oct"
23,d,a,4060,8,2005,0,,,
24,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct"
25,c,a,430,4,2003,0,,,
26,d,a,2300,,,0,,,
27,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
28,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
29,d,c,2170,,,0,,,
30,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
31,d,c,9800,7,2012,0,,,
32,a,a,2910,,,1,45,2009,"Feb,May,Aug,Nov"
33,a,c,1320,5,2013,0,,,
34,c,a,2240,9,2009,0,,,
35,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct"
